YER145C-A,GO:0003674
YER145C-A,GO:0005575
YER145C-A,GO:0008150
FMP49|YER038W-A,GO:0003674
FMP49|YER038W-A,GO:0008150
YDR157W,GO:0003674
YDR157W,GO:0005575
YDR157W,GO:0008150
YEL009C-A,GO:0003674
YEL009C-A,GO:0005575
YEL009C-A,GO:0008150
YLR236C,GO:0003674
YLR236C,GO:0005575
YLR236C,GO:0008150
RDT1|YCL054W-A,GO:0003674
RDT1|YCL054W-A,GO:0005575
RDT1|YCL054W-A,GO:0008150
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0000943
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0003677
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0003723
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0003887
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0003964
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0004190
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0004523
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0005524
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0005737
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0006278
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0006310
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0006508
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0015074
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0032196
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0046872
TY4B-P|YPLCTy4-1 POL|YPL060C-A,GO:0090502
YMR084W,GO:0003674
YMR084W,GO:0005575
YMR084W,GO:0006048
YMR084W,GO:0006541
YMR084W,GO:0008150
YPR010C-A,GO:0003674
YPR010C-A,GO:0008150
YPR010C-A,GO:0016021
YAR023C,GO:0003674
YAR023C,GO:0005575
YAR023C,GO:0008150
STE2|YFL026W,GO:0007186
SAL1|YNL083W|N2312,GO:0016021
SAL1|YNL083W|N2312,GO:0055085
YBR056W-A,GO:0003674
YBR056W-A,GO:0005575
YBR056W-A,GO:0008150
YMR316C-A,GO:0003674
YMR316C-A,GO:0008150
FOB1|HRM1|YDR110W|YD9727.06,GO:0046872
YAL065C,GO:0003674
YAL065C,GO:0005575
YAL065C,GO:0008150
YAL065C,GO:0016021
YAL064W-B,GO:0003674
YAL064W-B,GO:0008150
YAL064W-B,GO:0016021
RPS9A|RPS13A|YS11A|YPL081W,GO:0005730
COQ4|YDR204W|YD8142.01,GO:0003674
COQ4|YDR204W|YD8142.01,GO:0003674
COQ4|YDR204W|YD8142.01,GO:0006744
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0003677
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0004523
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0006278
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0006310
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0006508
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0015074
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0046872
TY1B-A|YARCTy1-1 POL|YAR009C,GO:0090502
ECM12|YHR021W-A,GO:0003674
ECM12|YHR021W-A,GO:0005575
ECM12|YHR021W-A,GO:0008150
ECM12|YHR021W-A,GO:0016021
ECM12|YHR021W-A,GO:0071555
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0003677
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0004190
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0004523
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0005524
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0005737
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0006278
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0006310
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0006508
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0015074
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0046872
TY1B-H|YHRCTy1-1 POL|YHR214C-B,GO:0090502
YHR139C-A,GO:0003674
YHR139C-A,GO:0005575
YHR139C-A,GO:0008150
YLR302C,GO:0003674
YLR302C,GO:0005575
YLR302C,GO:0008150
YLR302C,GO:0016021
CCW14|ICWP|SSR1|YLR390W-A|YLR391W-A,GO:0005576
CCW14|ICWP|SSR1|YLR390W-A|YLR391W-A,GO:0031225
VPS63|YLR261C,GO:0003674
VPS63|YLR261C,GO:0005575
VPS63|YLR261C,GO:0005623
JIP3|YLR331C,GO:0003674
JIP3|YLR331C,GO:0005575
JIP3|YLR331C,GO:0008150
YLR462W,GO:0003674
YLR462W,GO:0005575
YLR462W,GO:0008150
YRF1-4|YLR466W,GO:0003676
YRF1-4|YLR466W,GO:0005524
YRF1-4|YLR466W,GO:0032508
RPN13|DAQ1|YLR421C,GO:0005634
RPN13|DAQ1|YLR421C,GO:0010950
YLR358C,GO:0003674
YLR358C,GO:0005575
YLR358C,GO:0008150
YLR255C,GO:0003674
YLR255C,GO:0005575
YLR255C,GO:0008150
DIF1|YLR437C,GO:0003674
DIF1|YLR437C,GO:0008150
DIF1|YLR437C,GO:0043086
YLR415C,GO:0003674
YLR415C,GO:0005575
YLR415C,GO:0005739
YLR415C,GO:0008150
YPR089W|YPR090W,GO:0003674
YPR089W|YPR090W,GO:0005575
YPR089W|YPR090W,GO:0005794
YPR089W|YPR090W,GO:0008150
YPR096C|P9513.17C,GO:0003674
